date,close,open
1-Jan-00,10940.53 ,11501.85 
1-Feb-00,10128.31 ,10937.74 
1-Mar-00,10921.92 ,10128.11 
1-Apr-00,10733.91 ,10863.28 
1-May-00,10522.33 ,10749.42 
1-Jun-00,10447.89 ,10532.27 
1-Jul-00,10521.98 ,10450.36 
1-Aug-00,11215.10 ,10523.81 
1-Sep-00,10650.92 ,11219.54 
1-Oct-00,10971.14 ,10659.06 
1-Nov-00,10414.49 ,10966.21 
1-Dec-00,10787.99 ,10416.76 
1-Jan-01,10887.36 ,10790.92 
1-Feb-01,10495.28 ,10884.82 
1-Mar-01,9878.78 ,10493.25 
1-Apr-01,10734.97 ,9877.16 
1-May-01,10911.94 ,10734.05 
1-Jun-01,10502.40 ,10913.57 
1-Jul-01,10522.81 ,10504.95 
1-Aug-01,9949.75 ,10527.38 
1-Sep-01,8847.56 ,9946.98 
1-Oct-01,9075.14 ,8845.97 
1-Nov-01,9851.56 ,9087.45 
1-Dec-01,10021.57 ,9848.93 
1-Jan-02,9920.00 ,10021.71 
1-Feb-02,10106.13 ,9923.04 
1-Mar-02,10403.94 ,10111.04 
1-Apr-02,9946.22 ,10402.07 
1-May-02,9925.25 ,9944.90 
1-Jun-02,9243.26 ,9923.94 
1-Jul-02,8736.59 ,9239.25 
1-Aug-02,8663.50 ,8732.58 
1-Sep-02,7591.93 ,8659.27 
1-Oct-02,8397.03 ,7593.04 
1-Nov-02,8896.09 ,8395.64 
1-Dec-02,8341.63 ,8902.95 
1-Jan-03,8053.81 ,8342.38 
1-Feb-03,7891.08 ,8053.74 
1-Mar-03,7992.13 ,7890.24 
1-Apr-03,8480.09 ,7992.83 
1-May-03,8850.26 ,8478.48 
1-Jun-03,8985.44 ,8851.45 
1-Jul-03,9233.80 ,8983.66 
1-Aug-03,9415.82 ,9232.68 
1-Sep-03,9275.06 ,9416.67 
1-Oct-03,9801.12 ,9276.80 
1-Nov-03,9782.46 ,9802.46 
1-Dec-03,10453.92 ,9785.35 
1-Jan-04,10488.07 ,10452.74 
1-Feb-04,10583.92 ,10487.78 
1-Mar-04,10357.70 ,10582.25 
1-Apr-04,10225.57 ,10357.52 
1-May-04,10188.45 ,10227.27 
1-Jun-04,10435.48 ,10187.18 
1-Jul-04,10139.71 ,10434.00 
1-Aug-04,10173.92 ,10138.45 
1-Sep-04,10080.27 ,10170.12 
